#index	date	close	open	high	low	volume	dVolume	percent_change	dollar_change	spread	var	entropy	slope	concavity	answer
40	2006-10-20	51.02	51.369999	51.439999	50.450001	2252800	-0.21252796420581654	-0.006813295830509883	-0.34999899999999684	0.019337787082115313	2.8319168052	1.49496191896	-2.556660666666668	-10.971638999999982	1
41	2006-10-23	51.09	50.799999	51.439999	50.439999	1570400	-0.3029119318181818	0.005708681214737893	0.29000100000000373	0.019629011871911	1.9747643876	1.51992250617	1.0266645	8.279147833333317	1
42	2006-10-24	53.16	50.84	53.259998	50.84	3923200	1.4982170147733063	0.045633359559401905	2.319999999999993	0.04653842307692307	2.140926215	1.35246146382	3.59666699999998	2.9750065000000063	0
43	2006-10-25	52.950001	52.290001	53.900002	52.290001	3576800	-0.0882952691680261	0.01262191599499116	0.6600000000000037	0.03059674970359662	1.672800578	1.420986045	-2.7766648333333017	-11.931664666666629	0
44	2006-10-26	52.400002	53.349998	53.529999	51.66	4878400	0.3639006933571908	-0.01780686102368736	-0.9499959999999987	0.03536641134751773	1.269600494	1.46903453053	-0.07333266666666798	7.301663833333332	1
45	2006-10-27	52.880001	52.279999	54.310001	52.279999	4152000	-0.14890127910790424	0.011476702591367753	0.6000020000000035	0.038607873716241976	1.132749153	1.50241750238	1.4516640000000127	1.877495083333334	0
46	2006-10-30	52.099998	52.889999	52.900002	51.900002	3727200	-0.1023121387283237	-0.014936680184093096	-0.7900010000000037	0.019049433823681315	1.1346209298	1.51948914146	-2.173337333333341	-6.905000166666677	1
47	2006-10-31	52.91	52.099998	53.0	51.25	2581600	-0.3073620948701438	0.015547063936547506	0.8100019999999972	0.033330159667272825	1.0611157852	1.52507070729	2.555006833333323	9.1516850833333	0
48	2006-11-01	51.389999	52.91	53.009998	51.240002	3497600	0.3548187170746824	-0.028728047628047506	-1.5200009999999935	0.03394047971179762	0.641681734001	1.52924829304	-3.9916718333333114	-12.455858083333302	1
49	2006-11-02	51.810001	51.139999	52.48	50.689999	2765600	-0.20928636779505946	0.013101329939408029	0.6700019999999967	0.03477418164157351	0.592489501601	1.53402652844	2.8133388333333094	13.71752183333328	1
50	2006-11-03	54.07	52.389999	54.669998	52.099998	4345600	0.5713045993636101	0.03206720809443033	1.6800009999999972	0.048281044977278274	0.727604379601	1.56606891921	3.1466621666666676	-2.2658533333333444	1
51	2006-11-06	54.57	54.07	54.630001	53.209999	2943200	-0.3227172312223859	0.009247272054743851	0.5	0.02614142120765826	0.852884240401	1.55711309806	-1.5799981666666696	-8.568319166666717	0
52	2006-11-07	53.669998	54.599998	54.599998	53.330002	1751200	-0.4050013590649633	-0.017032967656885258	-0.9299999999999997	0.02345979582376634	0.910564902002	1.55153153223	-1.480004000000008	2.589988583333375	1
53	2006-11-08	54.68	53.5	55.110001	53.41	2568000	0.46642302421196896	0.022056074766355134	1.1799999999999997	0.03142911813643927	1.2058759216	1.57084334047	3.0683393333333293	7.924184916666718	1
54	2006-11-09	54.889999	55.099998	55.610001	54.57	3384000	0.3177570093457944	-0.003811234258120958	-0.20999899999999627	0.018910828772910986	1.4411810116	1.54959411564	-1.0933381666666666	-9.028355250000004	0
55	2006-11-10	54.07	54.52	54.52	53.540001	1998400	-0.4094562647754137	-0.008253851797505554	-0.45000000000000284	0.018049525739018444	1.469384214	1.51621114379	-1.4116630000000068	1.0133513333332378	1
56	2006-11-13	55.59	54.299999	56.669998	54.299999	5601600	1.8030424339471578	0.023756924931066827	1.2900010000000037	0.04313402532654496	1.647024897	1.53328278287	3.8133318333333386	9.009988666666743	1
57	2006-11-14	56.009998	55.709999	56.189999	54.830002	2382400	-0.5746929448728935	0.005385011764225659	0.2999989999999997	0.02434652768563894	1.981824309	1.52657094502	-1.27667000000001	-10.782501166666671	1
58	2006-11-15	57.450001	56.0	57.709999	55.580002	3435200	0.4419073203492277	0.025892875000000006	1.4500010000000003	0.037549528095641056	2.0327288106	1.48653953432	2.656674500000006	8.236685999999972	0
59	2006-11-16	57.099998	57.700001	58.73	56.950001	8589600	1.5004657661853749	-0.010398665331045678	-0.600003000000001	0.031010435810195375	1.513780052	1.52463352843	-2.181676333333352	-9.119200166666625	1
60	2006-11-17	58.900002	57.110001	59.490002	56.98	6393600	-0.25565800502933783	0.031343039199036325	1.7900010000000037	0.043272165073558355	2.5121429144	1.53923812855	4.188345166666672	12.277541999999945	1
61	2006-11-20	59.82	58.91	60.09	58.549999	6775200	0.059684684684684686	0.015447292480054383	0.9100000000000037	0.025941227996294176	3.8136183344	1.51621114379	-0.5300093333333251	-10.299209500000027	1
62	2006-11-21	60.049999	60.07	60.23	59.5	5913600	-0.1271696776478923	-0.00033296154486433496	-0.0200010000000006	0.012154512255698517	4.2257649316	1.49496191896	-0.05166483333333834	2.4516930000000627	1
63	2006-11-22	60.07	60.380001	60.619999	59.349998	4622400	-0.21834415584415584	-0.0051341668576653345	-0.31000099999999975	0.021087604640202547	4.494726255	1.52569907275	0.0750023333333445	0.535830833333326	0
64	2006-11-24	59.880001	60.32	60.93	59.880001	1889600	-0.591208030460367	-0.007294413129973479	-0.43999900000000025	0.017470865079277323	4.2357453508	1.55570911798	-0.2949996666666668	-0.6500047499999368	0
65	2006-11-27	58.950001	60.209999	60.599998	58.93	4089600	1.1642675698560543	-0.020926723483254053	-1.259998000000003	0.02802950654582074	2.646817562	1.56606891921	-1.4766675000000145	-1.7558344166666302	1
66	2006-11-28	59.360001	59.029999	59.68	58.860001	4464000	0.09154929577464789	0.005590411749795225	0.33000200000000035	0.013852504434496206	1.8208106822	1.57084715461	1.7733336666666613	5.812502833333336	1
67	2006-11-29	61.73	59.619999	61.93	59.400002	4014400	-0.1007168458781362	0.03539082582004063	2.110000999999997	0.04169753639635381	1.6206092394	1.56666575472	3.556664833333341	1.2416628333333317	1
68	2006-11-30	62.130001	61.849998	62.77	61.450001	3691200	-0.08051016341171782	0.004527130299988056	0.28000300000000067	0.021293741097707267	1.8312098946	1.52569907275	-1.8949969999999752	-10.07082466666671	1
69	2006-12-01	62.860001	61.799999	63.060001	60.73	5135200	0.39120069354139575	0.01715213619987271	1.0600019999999972	0.037381694208246476	1.707944736	1.5058551567	1.6616651666666418	8.340823833333323	0
70	2006-12-04	62.09	62.860001	63.049999	61.619999	5238400	0.02009658825362206	-0.012249458920625749	-0.7700009999999935	0.022889155479078382	1.6827440708	1.53923812855	-2.1300014999999846	-7.115831583333271	1
71	2006-12-05	62.25	62.34	62.919998	61.439999	2292800	-0.5623091020158827	-0.0014436958614052519	-0.09000000000000341	0.02375790994461834	1.7894208764	1.55153153223	1.4350011666666447	7.265004833333232	0
72	2006-12-06	62.049999	62.0	62.34	61.5	4928800	1.1496859734822051	0.0008064354838709626	0.04999899999999968	0.013542926348592771	1.7946203164	1.56606891921	-0.8100021666666587	-5.060006666666624	1
